"Country or Area","Year","Value","Value Footnotes"
"Uganda","2019","-0.26","31"
"Ukraine","2020","4.12","21"
"United Arab Emirates","2018","1.84","22"
"United Kingdom","2018","2.66","22"
"United States","2019","4.27","10"
"Uruguay","2019","0","10"
"Vietnam","2018","6.46","35"
"West Bank and Gaza","2016","-0.55","45"
"Zambia","2015","2.93","19"
"Zimbabwe","2017","-3.5","46"

"footnoteSeqID","Footnote"
"1","Estimated from consumption data. Growth rates are for the period of 2014-2017."
"2","Estimated from income data. Growth rates are for the period of 2016-2020."
"3","Estimated from consumption data. Growth rates are for the period of 2013-2018."
"4","Estimated from income data. Growth rates are for the period of 2015-2020."
"5","Estimated from consumption data. Growth rates are for the period of 2010-2016."
"6","Estimated from consumption data. Growth rates are for the period of 2014-2019."
"7","Estimated from consumption data. Growth rates are for the period of 2011-2015."
"8","Estimated from consumption data. Growth rates are for the period of 2012-2017."
"9","Estimated from consumption data. Growth rates are for the period of 2009-2015."
"10","Estimated from income data. Growth rates are for the period of 2014-2019."
"11","Estimated from consumption data. Growth rates are for the period of 2009-2014."
"12","Estimated from consumption data. Growth rates are for the period of 2008-2015."
"13","Estimated from consumption data. Growth rates are for the period of 2007-2014."
"14","Estimated from income data. Growth rates are for the period of 2012-2017."
"15","Estimated from consumption data. Growth rates are for the period of 2005-2011."
"16","Estimated from consumption data. Growth rates are for the period of 2004-2012."
"17","Estimated from income data. Growth rates are for the period of 2011-2016."
"18","Estimated from consumption data. Growth rates are for the period of 2009-2016."
"19","Estimated from consumption data. Growth rates are for the period of 2010-2015."
"20","Estimated from consumption data. Growth rates are for the period of 2008-2013."
"21","Estimated from consumption data. Growth rates are for the period of 2015-2020."
"22","Estimated from income data. Growth rates are for the period of 2013-2018."
"23","Estimated from consumption data. Growth rates are for the period of 2012-2016."
"24","Estimated from consumption data. Growth rates are for the period of 2007-2012."
"25","Estimated from consumption data. Growth rates are for the period of 2015-2019."
"26","Estimated from consumption data. Growth rates are for the period of 2006-2012."
"27","Estimated from consumption data. Growth rates are for the period of 2008-2010."
"28","Estimated from income data. Growth rates are for the period of 2012-2016."
"29","Estimated from consumption data. Growth rates are for the period of 2012-2018."
"30","Estimated from consumption data. Growth rates are for the period of 2010-2012."
"31","Estimated from consumption data. Growth rates are for the period of 2016-2019."
"32","Estimated from income data. Growth rates are for the period of 2011-2015."
"33","Estimated from consumption data. Growth rates are for the period of 2006-2009."
"34","Estimated from consumption data. Growth rates are for the period of 2008-2014."
"35","Estimated from consumption data. Growth rates are for the period of 2014-2018."
"36","Estimated from consumption data. Growth rates are for the period of 2015-2017."
"37","Estimated from consumption data. Growth rates are for the period of 2003-2010."
"38","Estimated from income data. Growth rates are for the period of 2009-2014."
"39","Estimated from consumption data. Growth rates are for the period of 2011-2014."
"40","Estimated from income data. Growth rates are for the period of 2015-2018."
"41","Estimated from consumption data. Growth rates are for the period of 2013-2016."
"42","Estimated from income data. Growth rates are for the period of 2014-2018."
"43","Estimated from consumption data. Growth rates are for the period of 2011-2018."
"44","Estimated from consumption data. Growth rates are for the period of 2010-2014."
"45","Estimated from consumption data. Growth rates are for the period of 2011-2016."
"46","Estimated from consumption data. Growth rates are for the period of 2011-2017."
